song_id,line
28,Я превращался в самых отвратительных существ
28,"Я так хотел бы крылья, но нас всех что-то тянет к земле"
28,"Учись, пока я мёртв, как не надо жить, надо жить"
28,"Надо жить здесь, но нас всех что-то тянет к земле"
28,А я так и лежал и посылал всех
28,Это ни для кого не частная собственность
29,"В спокойствии и комфорте, лечу к тебе на Конкорде"
29,"Мне хватит тупо аккорда, меняю дома погоду"
29,"Как узнаешь кто тут на проводе, раздвинешь ноги, как Джордан"
29,"Запомните мою морду, я чуть быстрее, чем мода"
29,"Не хватит тупо аккорда, меняю дома"
29,"Не хватит тупо аккорда, меняю дома погоду"
29,Я хочу слышать тебя очень громко
29,Ведь я угасался в мучительной ломке
29,Взгляд на небо: ну как тебе атмосфера
29,"Альфа, омега — друг с другом, будто бы лего"
29,Мы с тобою в постели и ты поднимаешь мне эго 
29,Я сам не знаю как всё это сделать
29,Ведь с тобой я пропадаю 
29,"Будоражу голосом, я люблю твои волосы"
30,С каждым днём постепенно крепчает моя черепная коробка
30,И я самый продвинутый в школе
30,Я застрял в самом центре Европы
30,А потом разлюбить и писать об этом
30,Первый выбитый глаз и на шее засос
30,Новый класс и нам надо гонять на рейвы
30,"Пять утра, я невнятно смотрю на рассвет"
30,"Убедившись, что не в облаках, заберу компромат"
31,Катится к чертям и мой забытый дом
31,"Охваченный огнём, как раньше рад гостям"
31,"Так не любит нас, что этим алым полотном"
31,"Танцует на костях, нажмёт рестарт вот-вот"
31,Прогремит на весь мир и вокруг все сгорят
31,Мы станем с тобой первозданной зарёй
31,Я был искренне рад и ты вместе со мной
31,"Всех, кто был виноват, и сравняет с землёй"
31,"Буду искренне счастлив, ты вместе со мной"
31,"Каждый день, как праздник, но мне не хватает счастья"
31,Всё ещё серее от вселенской грусти
31,"Выдумал вселенную, где я стою у власти"
31,"Для себя — всецело, для тебя — отчасти"
31,"Выдумал вслепую, тут лишь самопал и пластик"
31,И этот суррогат – моё второе счастье
31,В нём я закрываюсь от воздействия загрузов
31,"Для тебя всецело, ну а мне так безопасней"
31,"Всех, кто был виноват, сравняет с землёй"
32,"Во что превращается дом, когда меня нету в нём"
32,И ранее привычный хлам охвачен синим огнём
32,"Тревожно, но переживём потоп, взрыв и первый полёт"
32,Затянутся на спине шрамы от старых травм
32,"Поднимаюсь вверх, и вдруг окутывает холод"
32,Тянет к небесам перебороть привычный голод
32,Больше не приносят радость бытовые ссоры
32,"Мне пора пропасть, чтобы появиться снова"
32,Если жизнь и так несёт вперёд
32,"В конце концов, все мы будем там"
33,В моей картине мира нарисованы маршрут и семья
33,Она висит около шкафа со скелетами
33,Где вам бы не советовал копаться безоружными 
33,"Я так устал бояться, думать, что ещё обрушит судьба"
33,"Тишина — всё, что так нужно сейчас"
33,"Бесит, что так хочется петь песни про любовь"
33,"Только поклянись, что ты сегодня не одна"
33,"Крепче убеждаюсь, что проблемы с головой — это не большее из зол"
33,Хочется остаться только звуком из динамика и больше ничего
33,"Всё ещё не понимаю, как довёл себя до слов, что говорил тебе"
33,Тщательно скрывая все подсказки на поверхности
33,Мои мысли не об этом 
34,"В параллельной вселенной, где на дне океана огни"
34,"Там не вдвоём мы, только там не одни"
34,В параллельной вселенной не чувствую боль
34,Крепко держу в руках имени нити
34,"Вспоминая о том, что не было"
34,"Мой нос в крови, не жди ответа"
34,Перелистнут — и не останется страниц
34,В параллельной вселенной я не чувствую боль
34,"Рассветы, с рассветом, с рассветом, рассветы"
34,"С рассветом, с рассветом, с рассветом, рассветы"
35,Нас в унисон всех оторвёт от пола
35,Чтобы заставить вас со мною хором петь
35,Возьми меня и вылей себе в долбаный стакан
35,"Ведь моя музыка впирает, будто кислота"
35,И это чувство так тебе знакомо
35,Но твой стакан ещё с чего-то полон
35,Вас в унисон всех оторвёт от пола
35,И вы уже поёте со мной хором
35,Тебя не поймают и не найдут
35,Вряд ли вспомнишь сочетания имя фамилий
35,Чтобы нас после концерта увозил катафалк
35,Только так смогу ещё сто лет существовать
35,Наши палящие глаза воспринимаются как шоу
36,Моя душа сейчас в окраинах Москвы
